,Year Manufactured,Engine Capacity,Warranty,Mileage,Price
182,2013,2.0,1,79999.0,27800
183,2015,3.5,0,84999.0,189800
184,2014,2.0,0,109999.0,99800
185,2018,2.5,5,54999.0,209000
186,2018,2.5,5,99999.0,209000
187,2019,2.5,1,14999.0,208000
188,2020,2.0,5,9999.0,198000
189,2018,2.0,5,54999.0,139000
190,2021,2.0,5,19999.0,233000
191,2018,2.4,5,39999.0,188000
192,2021,2.0,5,34999.0,225000
193,2020,2.0,5,24999.0,333000
194,2020,2.0,1,44999.0,225000
195,2020,2.5,5,24999.0,282000
196,2019,1.3,1,64999.0,143000
197,2019,2.0,5,49999.0,209000
198,2019,2.5,1,19999.0,247000
199,2016,2.0,0,119999.0,123000
200,2021,2.8,0,29999.0,73500
202,2008,1.6,0,179999.0,36800
203,2020,1.3,1,9999.0,186000
204,2012,2.5,0,99999.0,53800
205,2018,2.5,5,24999.0,216000
206,2006,1.6,0,119999.0,10800
207,2018,1.6,3,19999.0,175000
208,2018,2.0,5,49999.0,139000
209,2020,2.5,1,19999.0,265000
210,2019,2.5,5,49999.0,259000
211,2020,2.0,5,34999.0,179000
212,2018,2.0,3,19999.0,183000
213,2019,2.5,5,29999.0,265000
214,2013,1.2,0,109999.0,27888
215,2018,1.6,3,19999.0,163000
216,2018,2.0,5,34999.0,158000
217,2020,2.5,5,29999.0,238000
218,2020,2.5,5,19999.0,212000
219,2019,1.3,5,24999.0,158800
220,2021,2.5,1,9999.0,233000
221,2001,2.0,0,139999.0,13800
222,2020,1.5,5,24999.0,153800
223,2018,2.4,5,29999.0,183000
225,2018,2.5,0,34999.0,219800
226,2013,2.5,0,84999.0,119800
227,2014,1.2,0,84999.0,63800
228,2012,2.5,0,109999.0,45800
229,2018,2.5,5,34999.0,256000
230,2018,2.0,5,44999.0,274000
231,2021,2.0,5,14999.0,229000
232,2020,2.5,1,14999.0,263000
233,2021,2.0,5,4999.0,298000
234,2018,2.0,5,44999.0,139000
235,2010,2.0,0,119999.0,48800
236,2006,2.0,0,99999.0,40800
237,2018,2.0,5,44999.0,155000
238,2012,2.0,0,79999.0,26800
239,2021,3.0,0,14999.0,888000
240,2014,2.0,0,109999.0,113800
241,2015,2.7,0,14999.0,269800
242,2019,2.0,0,64999.0,219800
243,2017,2.5,5,39999.0,181888
244,2020,1.5,0,54999.0,79800
245,2013,1.4,0,94999.0,33888
246,2018,1.5,0,29999.0,46800
248,2020,2.5,5,24999.0,274000
249,2020,2.5,5,24999.0,286000
250,2018,2.0,1,19999.0,149000
251,2018,2.0,5,39999.0,197000
252,2020,2.0,1,14999.0,299000
253,2020,1.3,1,44999.0,186000
254,2020,2.5,1,14999.0,263000
255,2019,1.6,2,34999.0,33800
256,2020,1.5,2,54999.0,49800
257,2010,1.5,0,99999.0,31800
259,2014,2.0,0,119999.0,113800
260,2016,2.5,0,44999.0,179800
262,2020,1.3,5,34999.0,158800
263,2020,2.5,5,29999.0,208800
264,2018,2.0,5,89999.0,258000
265,2021,2.5,1,19999.0,214000
266,2018,2.0,5,59999.0,149000
267,2018,2.0,1,69999.0,278000
268,2019,2.0,5,59999.0,199000
269,2019,2.0,5,24999.0,256000
270,2022,2.0,5,9999.0,220000
271,2021,2.0,5,19999.0,208000
272,2019,2.4,5,24999.0,178888
273,2021,2.0,5,9999.0,385888
274,2018,2.5,5,24999.0,228888
275,2011,2.0,0,94999.0,22800
276,2022,3.0,1,24999.0,550000
277,2014,2.0,1,84999.0,43800
278,2010,1.8,1,94999.0,55800
279,2012,1.5,1,129999.0,20800
280,2005,2.4,1,99999.0,31800
281,2009,2.5,1,109999.0,31800
282,2014,1.5,1,84999.0,26800
283,2010,1.8,1,149999.0,24800
284,2015,1.6,1,119999.0,29800
285,2015,1.6,1,119999.0,28800
286,2011,2.0,1,129999.0,31800
