,Year Manufactured,Engine Capacity,Warranty,Mileage,Price
846,2018,3.8,1,9999.0,999000
848,2007,3.6,0,94999.0,378000
850,2015,2.7,0,84999.0,259000
864,2021,1.5,3,9999.0,56800
865,2020,2.0,1,4999.0,378000
867,2018,3.0,1,14999.0,399000
869,2021,6.9,0,4999.0,72000
875,2022,2.0,5,4999.0,218000
886,2019,2.0,5,59999.0,307000
887,2019,2.0,1,19999.0,151000
888,2020,4.0,0,4999.0,72000
891,2017,2.9,1,9999.0,838000
893,2015,3.6,1,14999.0,399000
898,2019,1.5,0,59999.0,178800
909,2019,1.8,0,44999.0,69800
911,2013,1.5,0,99999.0,20800
912,2014,2.0,0,349999.0,38500
913,2008,2.4,0,99999.0,65500
914,2014,1.5,0,149999.0,45800
915,2012,1.6,0,149999.0,27800
916,2017,1.5,0,74999.0,51800
917,2018,2.4,5,64999.0,175000
918,2018,2.0,0,79999.0,169800
919,2020,2.0,1,19999.0,156000
